"TARGSITEID","SITEID","SAMPLEID","HgCOMP","AREA_SQKM","SAMPLEID.MRG"
"TS0048",2007190913,2007190913001,36.12165,6461,"2007190913001"
"TS0048",2007190913,2007190913002,47.0455,6461,"2007190913002"
"TS0049",2007190159,2007190159002,41.6731,6800,"2007190159002"
"TS0049",2007190159,2007190159001,27.8187,6800,"2007190159001"
"TS0051",2007191370,2007191370001,24.38715,5851,"2007191370001"
"TS0051",2007191370,2007191370002,31.3815,5851,"2007191370002"
"TS0052",2007190854,2007190854002,10.31415,4517,"2007190854002"
"TS0052",2007190854,2007190854001,9.4116,4517,"2007190854001"
"TS0053",2007190454,2007190454001,25.8826,NA,"2007190454001"
"TS0053",2007190454,2007190454002,26.1424,NA,"2007190454002"
"TS0054",2007191305,2007191305001,38.7434,8409,"2007191305001"
"TS0054",2007191305,2007191305002,79.1066,8409,"2007191305002"
"TS0056",2007191174,2007191174001,10.018,6651,"2007191174001"
"TS0058",2007191398,2007191398002,14.1792,6601,"2007191398002"
"TS0058",2007191398,2007191398001,13.6164,6601,"2007191398001"
"TS0060",2007190832,2007190832001,19.2165,3722,"2007190832001"
"TS0062",2007190512,2007190512002,13.0295,8281,"2007190512002"
"TS0062",2007190512,2007190512001,21.641,8281,"2007190512001"
"TS0063",2007191141,2007191141001,6.23375,5134,"2007191141001"
"TS0063",2007191141,2007191141002,6.8084,5134,"2007191141002"
"TS0065",2007191208,2007191208001,12.6901,8005,"2007191208001"
"TS0065",2007191208,2007191208002,16.1666,8005,"2007191208002"
"TS0066",2007191391,2007191391001,9.4613,4438,"2007191391001"
"TS0069",2007191458,2007191458002,11.9474,5573,"2007191458002"
"TS0069",2007190266,2007190266001,6.6157,5573,"2007190266001"
"TS0069",2007191458,2007191458001,9.2682,5573,"2007191458001"
"TS0070",2007190121,2007190121002,45.6202,5321,"2007190121002"
"TS0070",2007191545,2007191545002,32.2466,5321,"2007191545002"
"TS0070",2007190121,2007190121001,26.763,5321,"2007190121001"
"TS0070",2007191545,2007191545001,37.6142,5321,"2007191545001"
"TS0071",2007191099,2007191099001,7.37,4790,"2007191099001"
"TS0071",2007191099,2007191099002,12.2873,4790,"2007191099002"
"TS0074",2007190095,2007190095001,39.3819,5183,"2007190095001"
"TS0074",2007190095,2007190095002,47.5373,5183,"2007190095002"
"TS0076",2007191261,2007191261001,11.5257,3220,"2007191261001"
"TS0076",2007191261,2007191261002,17.6732,3220,"2007191261002"
"TS0081",2007190188,2007190188001,6.9649,3447,"2007190188001"
"TS0081",2007190188,2007190188002,8.7324,3447,"2007190188002"
"TS0082",2007191505,2007191505002,12.6989,6409,"2007191505002"
"TS0082",2007191505,2007191505001,20.7271,6409,"2007191505001"
"TS0084",2007190561,2007190561001,26.1959,4751,"2007190561001"
"TS0084",2007190561,2007190561002,15.9965,4751,"2007190561002"
"TS0085",2007190751,2007190751001,22.4537,8781,"2007190751001"
"TS0085",2007190751,2007190751002,11.1232,8781,"2007190751002"
"TS0086",2007190728,2007190728001,5.7351,4912,"2007190728001"
"TS0086",2007190728,2007190728002,7.3874,4912,"2007190728002"
"TS0087",2007190875,2007190875002,6.0051,6036,"2007190875002"
"TS0087",2007190256,2007190256001,6.201,6036,"2007190256001"
"TS0087",2007190256,2007190256002,5.099,6036,"2007190256002"
"TS0087",2007190875,2007190875001,11.5792,6036,"2007190875001"
"TS0090",2007190694,2007190694002,6.7375,8100,"2007190694002"
"TS0090",2007190694,2007190694001,5.5472,8100,"2007190694001"
"TS0092",2007191517,2007191517002,13.1948,5645,"2007191517002"
"TS0092",2007191517,2007191517001,26.4854,5645,"2007191517001"
"TS0093",2007190072,2007190072001,6.6702,6325,"2007190072001"
"TS0093",2007190072,2007190072002,5.7032,6325,"2007190072002"
"TS0096",2007190098,2007190098001,4.454,5090,"2007190098001"
"TS0096",2007190098,2007190098002,2.8185,5090,"2007190098002"
"TS0098",2007191089,2007191089001,2.8004,2999,"2007191089001"
"TS0098",2007191089,2007191089002,1.2896,2999,"2007191089002"
"TS0102",2007191111,2007191111002,12.372,7953,"2007191111002"
"TS0102",2007191111,2007191111001,16.1022,7953,"2007191111001"
"TS0103",2007191534,2007191534001,22.6189,4841,"2007191534001"
"TS0103",2007191534,2007191534002,12.9741,4841,"2007191534002"
"TS0105",2007190807,2007190807001,21.7605,5519,"2007190807001"
"TS0105",2007190807,2007190807002,6.7278,5519,"2007190807002"
"TS0107",2007190179,2007190179001,3.9527,6786,"2007190179001"
"TS0107",2007190179,2007190179002,9.8922,6786,"2007190179002"
"TS0108",2007190294,2007190294001,16.0335,8649,"2007190294001"
"TS0108",2007190294,2007190294002,7.2106,8649,"2007190294002"
"TS0109",2007190070,2007190070001,2.4457,4670,"2007190070001"
"TS0109",2007190070,2007190070002,1.312,4670,"2007190070002"
"TS0110",2007190389,2007190389002,11.0298,9191,"2007190389002"
"TS0110",2007190389,2007190389001,15.4865,9191,"2007190389001"
"TS0110",2007190074,2007190074002,11.6886,9191,"2007190074002"
"TS0110",2007190074,2007190074001,14.2173,9191,"2007190074001"
"TS0113",2007190446,2007190446002,13.4156,8380,"2007190446002"
"TS0113",2007190446,2007190446001,28.1117,8380,"2007190446001"
"TS0115",2007191246,2007191246001,9.8768,4909,"2007191246001"
"TS0115",2007191246,2007191246002,6.9493,4909,"2007191246002"
"TS0118",2007191535,2007191535001,32.4483,1594,"2007191535001"
"TS0118",2007191535,2007191535002,31.5081,1594,"2007191535002"
"TS0119",2007190350,2007190350001,24.79,1682,"2007190350001"
"TS0120",2007191469,2007191469002,28.589,3719,"2007191469002"
"TS0120",2007191469,2007191469001,18.0053,3719,"2007191469001"
"TS0121",2007190744,2007190744001,48.5849,6036,"2007190744001"
"TS0121",2007190744,2007190744002,53.5631,6036,"2007190744002"
"TS0122",2007190127,2007190127002,9.8204,8202,"2007190127002"
"TS0122",2007190127,2007190127001,15.7246,8202,"2007190127001"
"TS0123",2007190174,2007190174002,18.6261,7712,"2007190174002"
"TS0124",2007191004,2007191004002,3.8645,1480,"2007191004002"
"TS0124",2007190457,2007190457001,17.3607,1480,"2007190457001"
"TS0124",2007190457,2007190457002,4.6705,1480,"2007190457002"
"TS0124",2007191004,2007191004001,15.8223,1480,"2007191004001"
"TS0125",2007190918,2007190918002,29.058,6987,"2007190918002"
"TS0125",2007190918,2007190918001,46.6925,6987,"2007190918001"
"TS0127",2007190922,2007190922001,56.2892,4784,"2007190922001"
"TS0127",2007191082,2007191082001,42.6987,4784,"2007191082001"
"TS0127",2007190922,2007190922002,126.2854,4784,"2007190922002"
"TS0127",2007191082,2007191082002,101.3772,4784,"2007191082002"
"TS0128",2007190847,2007190847002,19.3672,1353,"2007190847002"
"TS0128",2007190847,2007190847001,39.6115,1353,"2007190847001"
"TS0129",2007190412,2007190412001,34.67515,6817,"2007190412001"
"TS0129",2007190412,2007190412002,18.7872,6817,"2007190412002"
"TS0130",2007190439,2007190439002,7.13955,1881,"2007190439002"
"TS0130",2007190439,2007190439001,20.7236,1881,"2007190439001"
"TS0131",2007191373,2007191373001,29.7696,2920,"2007191373001"
"TS0131",2007191373,2007191373002,20.6243,2920,"2007191373002"
"TS0132",2007191524,2007191524002,6.5554,6395,"2007191524002"
"TS0132",2007191524,2007191524001,8.5424,6395,"2007191524001"
"TS0133",2007191145,2007191145002,83.9254,7849,"2007191145002"
"TS0133",2007191145,2007191145001,27.9915,7849,"2007191145001"
"TS0134",2007190955,2007190955001,8.3609,2566,"2007190955001"
"TS0134",2007190955,2007190955002,21.0862,2566,"2007190955002"
"TS0135",2007191109,2007191109002,16.5444,4389,"2007191109002"
"TS0135",2007191109,2007191109001,9.5408,4389,"2007191109001"
"TS0136",2007190501,2007190501002,69.8004,7284,"2007190501002"
"TS0136",2007190501,2007190501001,38.5417,7284,"2007190501001"
"TS0137",2007191381,2007191381002,32.6092,1636,"2007191381002"
"TS0137",2007191381,2007191381001,35.5475,1636,"2007191381001"
"TS0138",2007190581,2007190581001,24.3963,4616,"2007190581001"
"TS0138",2007190581,2007190581002,24.9025,4616,"2007190581002"
"TS0139",2007190995,2007190995001,41.6305,5567,"2007190995001"
"TS0139",2007190995,2007190995002,14.4423,5567,"2007190995002"
"TS0140",2007190054,2007190054002,24.0259,5844,"2007190054002"
"TS0140",2007190054,2007190054001,21.5224,5844,"2007190054001"
"TS0141",2007191156,2007191156002,15.4873,5677,"2007191156002"
"TS0141",2007191156,2007191156001,24.5985,5677,"2007191156001"
"TS0142",2007190228,2007190228002,34.5371,1907,"2007190228002"
"TS0142",2007190228,2007190228001,23.808,1907,"2007190228001"
"TS0143",2007190469,2007190469001,45.5552,3070,"2007190469001"
"TS0143",2007190469,2007190469002,46.123,3070,"2007190469002"
"TS0144",2007191328,2007191328002,24.2023,1768,"2007191328002"
"TS0144",2007191328,2007191328001,30.1029,1768,"2007191328001"
"TS0145",2007191467,2007191467002,23.6068,5354,"2007191467002"
"TS0145",2007191467,2007191467001,33.8305,5354,"2007191467001"
"TS0146",2007190853,2007190853001,12.5665,3192,"2007190853001"
"TS0146",2007190939,2007190939002,8.1516,3192,"2007190939002"
"TS0146",2007190939,2007190939001,11.4281,3192,"2007190939001"
"TS0147",2007190851,2007190851001,6.7195,3037,"2007190851001"
"TS0147",2007190851,2007190851002,7.7729,3037,"2007190851002"
"TS0148",2007191482,2007191482002,13.2899,2954,"2007191482002"
"TS0148",2007191482,2007191482001,9.6206,2954,"2007191482001"
"TS0149",2007190115,2007190115001,46.9678,7695,"2007190115001"
"TS0149",2007190115,2007190115002,26.3575,7695,"2007190115002"
"TS0150",2007191341,2007191341001,18.7061,6211,"2007191341001"
"TS0150",2007191341,2007191341002,23.4642,6211,"2007191341002"
"TS0151",2007191580,2007191580001,35.0821,4793,"2007191580001"
"TS0151",2007191580,2007191580002,28.6792,4793,"2007191580002"
"TS0152",2007191138,2007191138001,16.9071,3756,"2007191138001"
"TS0152",2007191138,2007191138002,23.9419,3756,"2007191138002"
"TS0153",2007190424,2007190424001,10.3436,4959,"2007190424001"
"TS0153",2007190424,2007190424002,6.5373,4959,"2007190424002"
"TS0154",2007190331,2007190331002,13.2556,5945,"2007190331002"
"TS0154",2007190331,2007190331001,13.9639,5945,"2007190331001"
"TS0155",2007191401,2007191401002,18.2562,6596,"2007191401002"
"TS0155",2007191401,2007191401001,11.0167,6596,"2007191401001"
"TS0156",2007191379,2007191379001,23.4769,5361,"2007191379001"
"TS0156",2007191379,2007191379002,18.03845,5361,"2007191379002"
"TS0157",2007190272,2007190272001,14.45165,7039,"2007190272001"
"TS0157",2007190272,2007190272002,3.5613,7039,"2007190272002"
"TS0158",2007190253,2007190253001,11.6699,4192,"2007190253001"
"TS0158",2007190253,2007190253002,15.0223,4192,"2007190253002"
"TS0159",2007191521,2007191521002,18.4565,7722,"2007191521002"
"TS0159",2007191521,2007191521001,38.11125,7722,"2007191521001"
"TS0160",2007190473,2007190473001,25.3372,5379,"2007190473001"
"TS0160",2007190473,2007190473002,21.143,5379,"2007190473002"
"TS0161",2007191351,2007191351001,32.0304,5544,"2007191351001"
"TS0161",2007191351,2007191351002,26.13155,5544,"2007191351002"
"TS0162",2007190134,2007190134001,19.9805,4637,"2007190134001"
"TS0162",2007190134,2007190134002,27.6755,4637,"2007190134002"
"TS0163",2007191225,2007191225001,15.2979,4831,"2007191225001"
"TS0163",2007191225,2007191225002,12.1049,4831,"2007191225002"
"TS0164",2007191289,2007191289002,16.3849,4096,"2007191289002"
"TS0164",2007191289,2007191289001,4.5659,4096,"2007191289001"
"TS0165",2007190743,2007190743002,8.2034,4612,"2007190743002"
"TS0165",2007190906,2007190906002,8.72605,4612,"2007190906002"
"TS0165",2007190743,2007190743001,13.6447,4612,"2007190743001"
"TS0165",2007190906,2007190906001,14.6009,4612,"2007190906001"
"TS0166",2007191422,2007191422002,5.5118,6262,"2007191422002"
"TS0167",2007190326,2007190326002,5.6981,6085,"2007190326002"
"TS0167",2007190326,2007190326001,10.2576,6085,"2007190326001"
"TS0168",2007190423,2007190423002,5.5348,4339,"2007190423002"
"TS0168",2007190423,2007190423001,10.4991,4339,"2007190423001"
"TS0169",2007191317,2007191317001,2.2216,6994,"2007191317001"
"TS0169",2007191317,2007191317002,1.0096,6994,"2007191317002"
"TS0170",2007190741,2007190741002,5.6142,3098,"2007190741002"
"TS0170",2007190741,2007190741001,9.475,3098,"2007190741001"
"TS0171",2007190596,2007190596001,32.77535,3675,"2007190596001"
"TS0171",2007190596,2007190596002,17.0752,3675,"2007190596002"
"TS0172",2007190621,2007190621002,19.2966,6617,"2007190621002"
